uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,7
AC,OUTRAS,DOMICILIO,"< 9",M,11
AC,OUTRAS,HOSPITAL,"< 9",F,65
AC,OUTRAS,HOSPITAL,"< 9",I,1
AC,OUTRAS,HOSPITAL,"< 9",M,66
AC,OUTRAS,OUTRO,"< 9",F,3
AC,OUTRAS,OUTRO,"< 9",M,3
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,OUTRAS,VIA_PUBLICA,"< 9",M,1
AC,COVID,HOSPITAL,"< 9",F,2
AC,COVID,HOSPITAL,"< 9",M,9
AC,INDETERMINADA,DOMICILIO,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,8
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,16
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AC,PNEUMONIA,DOMICILIO,"< 9",M,2
AC,PNEUMONIA,HOSPITAL,"< 9",F,14
AC,PNEUMONIA,HOSPITAL,"< 9",M,21
AC,PNEUMONIA,OUTRO,"< 9",M,1
AC,SEPTICEMIA,DOMICILIO,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,38
AC,SEPTICEMIA,HOSPITAL,"< 9",M,61
AC,SRAG,HOSPITAL,"< 9",F,3
AL,OUTRAS,DOMICILIO,"< 9",F,12
AL,OUTRAS,DOMICILIO,"< 9",M,26
AL,OUTRAS,HOSPITAL,"< 9",F,235
AL,OUTRAS,HOSPITAL,"< 9",I,7
AL,OUTRAS,HOSPITAL,"< 9",M,274
AL,OUTRAS,IGNORADO,"< 9",M,1
AL,OUTRAS,OUTRO,"< 9",F,2
AL,OUTRAS,OUTRO,"< 9",M,5
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,8
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,7
AL,OUTRAS,VIA_PUBLICA,"< 9",F,2
AL,OUTRAS,VIA_PUBLICA,"< 9",M,5
AL,COVID,HOSPITAL,"< 9",F,8
AL,COVID,HOSPITAL,"< 9",M,5
AL,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,INDETERMINADA,DOMICILIO,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,22
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,37
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,PNEUMONIA,HOSPITAL,"< 9",F,16
AL,PNEUMONIA,HOSPITAL,"< 9",M,22
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,DOMICILIO,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,75
AL,SEPTICEMIA,HOSPITAL,"< 9",M,92
AL,SRAG,HOSPITAL,"< 9",F,3
AL,SRAG,HOSPITAL,"< 9",M,3
AM,OUTRAS,DOMICILIO,"< 9",F,31
AM,OUTRAS,DOMICILIO,"< 9",M,45
AM,OUTRAS,HOSPITAL,"< 9",F,299
AM,OUTRAS,HOSPITAL,"< 9",I,9
AM,OUTRAS,HOSPITAL,"< 9",M,345
AM,OUTRAS,IGNORADO,"< 9",M,2
AM,OUTRAS,OUTRO,"< 9",F,13
AM,OUTRAS,OUTRO,"< 9",M,18
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,11
AM,OUTRAS,VIA_PUBLICA,"< 9",M,1
AM,COVID,DOMICILIO,"< 9",F,1
AM,COVID,HOSPITAL,"< 9",F,6
AM,COVID,HOSPITAL,"< 9",M,16
AM,COVID,OUTRO,"< 9",M,2
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INDETERMINADA,HOSPITAL,"< 9",M,2
AM,INDETERMINADA,OUTRO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,5
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,36
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,36
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
AM,PNEUMONIA,DOMICILIO,"< 9",F,4
AM,PNEUMONIA,DOMICILIO,"< 9",M,2
AM,PNEUMONIA,HOSPITAL,"< 9",F,47
AM,PNEUMONIA,HOSPITAL,"< 9",M,53
AM,PNEUMONIA,OUTRO,"< 9",F,1
AM,PNEUMONIA,OUTRO,"< 9",M,1
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,SEPTICEMIA,DOMICILIO,"< 9",F,1
